,title,artist,album,uri,year,acousticness,danceability,key,energy,instrumentalness,liveness,loudness,audio_mode,speechiness,tempo,valence,duration_ms,time_signature,song_popularity
0,PLAYING WITH FIRE,BLACKPINK,SQUARE TWO,spotify:track:7qmvLmX9tyaTiBAVNI6YEn,2016,0.0392,0.706,4,0.756,0.0,0.18,-4.405,0,0.0845,97.098,0.676,197289,4,78
1,Why,TAEYEON,Why - The 2nd Mini Album,spotify:track:4eiPbjcTEJDQcsv7WV0vfD,2016,0.0702,0.615,6,0.879,0.0,0.0581,-3.275,0,0.0377,105.026,0.315,207777,4,56
2,Someone like U,Dalshabet,The 9th Mini Album 'Naturalness',spotify:track:5zbxw72g850H4fNMFEO7PC,2016,0.3,0.742,6,0.971,0.0,0.04,-1.687,1,0.0671,121.005,0.964,200768,4,11
3,러시안 룰렛 Russian Roulette,Red Velvet,Russian Roulette - The 3rd Mini Album,spotify:track:5HiSc2ZCGn8L3cH3qSwzBT,2016,0.055,0.726,7,0.903,0.000225,0.158,-2.277,0,0.0357,129.986,0.958,211244,4,73
4,Blood Sweat & Tears,BTS,Wings,spotify:track:2u54HNQamwFuOMLSuhSRom,2016,0.0244,0.584,0,0.885,0.0,0.357,-3.571,0,0.104,92.9,0.605,217052,4,75
5,Monster,EXO,EX'ACT,spotify:track:7GbUWl6qLW1gdngbEV2WDJ,2016,0.0066,0.618,6,0.76,0.0,0.127,-4.312,1,0.0596,150.0,0.541,221341,4,69
6,Hate,4Minute,Act. 7,spotify:track:3Hd6zm1J4bVeu4VXwaDQL3,2016,0.0474,0.686,6,0.902,1.02e-06,0.201,-3.78,0,0.163,149.96,0.615,216333,4,53
7,NAVILLERA,GFRIEND,GFRIEND The 1st Album 'LOL',spotify:track:2Oi0IO8K4BEbhPUdWcjNmv,2016,0.0438,0.642,6,0.957,0.0,0.273,-0.944,0,0.05,125.008,0.801,193580,4,58
8,The 7th Sense,NCT,NCT 2018 EMPATHY,spotify:track:6BdchFAP4TUZUceAsAEb5U,2016,0.0124,0.682,2,0.502,8.45e-06,0.107,-9.507,1,0.0713,108.08,0.218,214035,4,60
9,Gorilla,PENTAGON,PENTAGON,spotify:track:03FJaPsNcW9At7K4UWhdgc,2016,0.0998,0.808,2,0.914,0.0,0.163,-2.087,1,0.0497,103.994,0.824,185000,4,39
10,Press Your Number,TAEMIN,Press It - The 1st Album,spotify:track:1T7NW3LwpJZw381bfiPPBz,2016,0.186,0.656,10,0.78,0.0,0.209,-3.609,0,0.058,120.021,0.613,226258,4,51
11,Platonic Love,SNUPER,SNUPER 2nd Mini Album Platonic Love,spotify:track:3dNWqd5bnA1Dp7GJqjxKJf,2016,0.000929,0.652,0,0.934,0.0,0.104,-3.531,0,0.0383,147.95,0.706,188845,4,34
12,Save Me,BTS,The Most Beautiful Moment in Life: Young Forever,spotify:track:7bxGcILuAjkZzaveU28ZJS,2016,0.0269,0.613,1,0.822,0.0,0.0783,-3.48,1,0.062,139.936,0.54,196506,4,72
13,Pretty U,SEVENTEEN,SEVENTEEN 1ST ALBUM [FIRST ‘LOVE&LETTER’],spotify:track:1117juaaAkSIUsQxTmmcKM,2016,0.0173,0.642,8,0.931,0.0,0.0815,-2.82,1,0.163,155.088,0.884,207300,4,70
14,Fly,GOT7,FLIGHT LOG : DEPARTURE,spotify:track:3CK5Fc55KyS4Tg9Q9XrCYC,2016,0.201,0.604,7,0.905,0.0,0.345,-1.87,1,0.165,132.974,0.718,191576,4,49
15,Over,Two X,Reboot,spotify:track:58fnIU9C0SqK0bHzc2cf22,2016,0.0191,0.629,2,0.879,0.0,0.0526,-3.12,0,0.0694,144.965,0.918,202176,4,9
16,하이힐,Brave Girls,HIGH HEELS,spotify:track:4KFiz97tdr8lXwAnGw1Uag,2016,0.165,0.718,11,0.974,0.0,0.352,-2.462,0,0.0868,132.045,0.967,180062,4,22
17,VERY NICE,SEVENTEEN,Love&Letter repackage album,spotify:track:1Rrj7KyS2R6SP9CQMDJW1w,2016,0.0526,0.746,3,0.898,0.0,0.0858,-2.818,0,0.0725,121.967,0.879,192093,4,74
18,Very Very Very,I.O.I,miss me?,spotify:track:0BhMw9r3eOLMLXRFBLCt6O,2016,0.136,0.744,7,0.963,1.86e-06,0.0836,-1.525,1,0.0616,102.985,0.788,203640,4,60
19,Hey Mama!,EXO-CBX,Hey Mama!– The 1st Mini Album,spotify:track:20bWnhRylVPnTpfsuIzorG,2016,0.0662,0.532,1,0.859,0.0,0.684,-4.106,1,0.142,118.919,0.934,199796,4,52
20,Promise (I'll be),2PM,GENTLEMEN'S GAME,spotify:track:3CkAvpdvSbHTX7DrdFhOno,2016,0.108,0.57,1,0.945,0.0,0.104,-1.72,0,0.0722,159.899,0.51,208573,4,37
21,Angel,BerryGood,Very Berry,spotify:track:5QKgM188lUzrqGeIB7dPaw,2016,0.261,0.648,0,0.824,1.91e-06,0.308,-3.585,1,0.0785,130.044,0.315,198141,4,41
22,Stay With Me,CHANYEOL,"Guardian (Original Television Soundtrack), Pt. 1",spotify:track:1HYzRuWjmS9LXCkdVHi25K,2016,0.431,0.558,0,0.526,0.0,0.126,-4.686,0,0.033,124.709,0.202,192441,4,75
23,1 of 1,SHINee,1 of 1 - The 5th Album,spotify:track:6UmRhJatcth1KF76r5ucvZ,2016,0.0635,0.694,5,0.879,0.0,0.0478,-3.765,0,0.0515,108.045,0.84,203885,4,48
24,"소년, 소녀",LOONA,HaSeul,spotify:track:0KsPxLQtEvfb04Sx1pmUsL,2016,0.392,0.602,4,0.579,0.0,0.0947,-4.657,0,0.0306,116.019,0.216,187649,4,40
25,The Eye,INFINITE,INFINITE ONLY,spotify:track:78f6Qp6XQhSnJksCseLMMb,2016,0.0291,0.655,2,0.78,0.0,0.14,-3.167,0,0.124,117.999,0.344,240280,4,47
26,Can You Feel It,PENTAGON,Five Senses,spotify:track:5HLDRn2JipHV16lQ0zv6vj,2016,0.113,0.728,2,0.84,0.0,0.0892,-3.459,1,0.094,94.984,0.647,196911,4,32
27,It's raining,SNUPER,SNUPER 3rd Mini Album 'Rain of Mind',spotify:track:0lL8GnusBxAOh2I5J7SWrH,2016,0.0149,0.614,7,0.97,0.0,0.271,-3.601,0,0.0942,128.014,0.548,206500,4,22
28,Ribbon,Beast,Highlight,spotify:track:71OjTriwJJDop8oB4P8IBU,2016,0.299,0.492,0,0.866,0.0,0.363,-1.85,1,0.047,199.95,0.577,234799,3,41
29,Give It to Me,Agust D,Agust D,spotify:track:1Y84lXBGSuri3tDPUkFwXT,2016,0.000833,0.657,11,0.751,1.05e-05,0.158,-3.889,1,0.185,94.987,0.43,149525,4,62
30,BOOMBAYAH,BLACKPINK,SQUARE ONE,spotify:track:13MF2TYuyfITClL1R2ei6e,2016,0.00268,0.661,5,0.836,0.0,0.497,-3.164,0,0.059,124.952,0.396,240793,4,79
31,Fighter,MONSTA X,THE CLAN pt.2 <GUILTY>,spotify:track:2dBHdjWalG33aCj1WCDi9R,2016,0.0127,0.515,6,0.973,0.0,0.0927,-2.525,1,0.0793,98.991,0.423,218836,4,42
32,I Just Wanna Dance,TIFFANY,I Just Wanna Dance - The 1st Mini Album,spotify:track:2H6S5o9ndltrF1SIHkVLgV,2016,0.0128,0.72,5,0.754,0.0,0.616,-3.675,1,0.0481,114.054,0.195,209688,4,42
33,WHISTLE,BLACKPINK,SQUARE ONE,spotify:track:6NEoeBLQbOMw92qMeLfI40,2016,0.00561,0.818,11,0.723,0.0,0.0866,-4.82,1,0.114,102.945,0.607,211632,4,78
34,KNOCK,KNK,KNOCK,spotify:track:0IRN9abm1W3W2IyUiYp0qQ,2016,0.601,0.605,7,0.81,0.0,0.263,-5.654,0,0.0401,93.064,0.554,222080,4,36
35,Get Down,Boys Republic,BR:evolution,spotify:track:0eiR78pVttlfvGWL6YrMuc,2016,0.00564,0.642,1,0.87,0.0,0.207,-4.767,1,0.0975,74.986,0.703,194267,4,36
36,Lucky One,EXO,EX'ACT,spotify:track:6F07dfBaUEcylJdL3gky7y,2016,0.169,0.731,1,0.787,0.0,0.0892,-3.95,1,0.055,120.951,0.799,227486,4,55
37,Whoo,RAINBOW,RAINBOW 4th Mini Album 'Prism',spotify:track:26b32VMw5DcaCZhwMZzjep,2016,0.0555,0.702,5,0.963,0.0,0.399,-1.07,0,0.101,142.871,0.82,185060,4,30
38,Breathless,ASTRO,Summer Vibes,spotify:track:65pbvsULy9sfrcP9cYocA0,2016,0.143,0.769,4,0.979,0.0,0.492,-2.5,1,0.0603,113.997,0.801,199736,4,46
39,FXXK IT,BIGBANG,MADE,spotify:track:3lYvepDz6yYj29z7e4r5z0,2016,0.147,0.716,0,0.763,0.0,0.271,-3.001,0,0.0945,90.101,0.575,231748,4,63
40,Fanfare,SF9,SF9 1st Debut Single Album [Feeling Sensation],spotify:track:02jYQ47eGc0Dm9JiOcLBJ7,2016,0.0241,0.682,1,0.867,1.32e-06,0.329,-3.122,1,0.0292,97.004,0.595,193734,4,42
41,Why So Lonely,Wonder Girls,Why So Lonely,spotify:track:3mKK73NhylzXdHV4qZGxI4,2016,0.111,0.634,7,0.726,0.0,0.111,-5.086,1,0.133,155.161,0.809,206707,4,59
42,Queen,HISTORY,HIM,spotify:track:6LUT2J9XUctY7a0FrzivOw,2016,0.000419,0.55,7,0.893,0.0,0.264,-2.273,1,0.2,104.669,0.581,200430,4,39
43,BODY,MINO,The MOBB,spotify:track:03D2t5wn77cpCxH8p99ZvA,2016,0.0349,0.759,9,0.817,0.0,0.27,-3.102,0,0.0802,140.028,0.389,199336,4,53
44,Lie,BTS,Wings,spotify:track:1nWB8isqs2tviWk20G5pow,2016,0.00338,0.541,6,0.779,0.0,0.177,-5.581,0,0.033,94.069,0.501,215753,3,70
45,Better Day,100%,TIME LEAP,spotify:track:7ksqYECd57y4UbRePFZ25O,2016,0.0157,0.537,4,0.936,0.0,0.591,-3.231,0,0.0846,125.987,0.513,205000,4,25
46,안 믿을래,BerryGood,GLORY,spotify:track:06jtdJSVBxG5jRAODWB2xC,2016,0.0882,0.428,8,0.897,6.8e-06,0.14,-2.921,1,0.235,205.649,0.343,213844,4,31
47,Tinker Bell,APRIL,APRIL 2nd Mini Album 'Spring',spotify:track:7tjwRgsTfDDIxj1iIFNMkz,2016,0.148,0.715,0,0.922,0.0,0.263,-2.652,1,0.0358,125.934,0.684,201184,4,33
48,Free Somebody,LUNA,Free Somebody - The 1st Mini Album,spotify:track:2GYXeZioWBxUgsRZ30fvYt,2016,0.114,0.676,11,0.797,1.26e-06,0.344,-3.862,0,0.059,114.988,0.546,199824,4,46
49,CHEER UP,TWICE,Page Two,spotify:track:7lB4rxNVc7vm33ZSZXVRAQ,2016,0.139,0.551,6,0.885,0.0,0.114,-1.489,1,0.124,172.95,0.509,208853,4,69
